"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1,C4,C6,C7,C10,C5,C8,C11,C12,C14,C16,C17,C20,C15,C18,C21,C22","C_0805_2012Metric","C28233"
"100uF","C2","CP_Elec_6.3x7.7","C249983"
"100nF","C3","C_0805_2012Metric","C28233"
"470nF","C9,C19","C_0805_2012Metric","C13967"
"10nF","C13,C23","C_0805_2012Metric","C1710"
"LED","D1","LED_1206_3216Metric","C84270"
"Barrel_Jack","J2","BarrelJack_Horizontal","C381116"
"1776266-4","J5,J6,J3,J4","TE_1776266-4","C409137"
"10K","R1,R9,R8,R7,R6,R11,R18,R17,R16,R15,R20","R_0805_2012Metric","C17414"
"R_2.2K","R2","R_0805_2012Metric","C17520"
"0.2","R3,R4,R5,R10,R12,R13,R14,R19","R_2512_6332Metric","C76258"
"10K","RV1,RV2","Potentiometer_3296W_Vertical","C118954"
"SW_DIP_x04","SW1,SW2","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","C99418"
"PCA9557PW,118","U1","SOP65P640X110-16N","C141380"
"DRV8821DCAR","U2,U3","SOP50P810X120-49N","C81564"
