Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,-57.6625,68.6,0,top
C2,100uF,CP_Elec_6.3x7.7,-88.928,42.984,0,top
C3,100nF,C_0805_2012Metric,-82.9,43.2375,90,top
C4,100nF,C_0805_2012Metric,-71.435,57.4,90,top
C5,100nF,C_0805_2012Metric,-71.5,61.6375,270,top
C6,100nF,C_0805_2012Metric,-64.1,54.5,0,top
C7,100nF,C_0805_2012Metric,-65.2375,39.8,0,top
C8,100nF,C_0805_2012Metric,-77.531,57.4,90,top
C9,470nF,C_0805_2012Metric,-77.1269,44.7366,180,top
C10,100nF,C_0805_2012Metric,-71.816,36.7079,270,top
C11,100nF,C_0805_2012Metric,-77.8866,36.7333,270,top
C12,100nF,C_0805_2012Metric,-78.1152,49.2301,270,top
C13,10nF,C_0805_2012Metric,-76.1086,49.2301,270,top
C14,100nF,C_0805_2012Metric,-53.9,57.3375,90,top
C15,100nF,C_0805_2012Metric,-49.5,57.3625,90,top
C16,100nF,C_0805_2012Metric,-45.1625,54.5,0,top
C17,100nF,C_0805_2012Metric,-46.9375,39.7,0,top
C18,100nF,C_0805_2012Metric,-58.862,36.7125,270,top
C19,470nF,C_0805_2012Metric,-57.8206,44.7366,180,top
C20,100nF,C_0805_2012Metric,-52.8168,36.7125,270,top
C21,100nF,C_0805_2012Metric,-59.9,57.4,90,top
C22,100nF,C_0805_2012Metric,-58.8366,49.2301,270,top
C23,10nF,C_0805_2012Metric,-56.8046,49.2301,270,top
D1,LED,LED_1206_3216Metric,-89.2374,23.172,0,top
R1,10K,R_0805_2012Metric,-57.66,66.352,180,top
R2,R_2.2K,R_0805_2012Metric,-88.6539,25.7374,180,top
R3,0.2,R_2512_6332Metric,-74.483,59.492,90,top
R4,0.2,R_2512_6332Metric,-65.3,59.5,90,top
R5,0.2,R_2512_6332Metric,-65.466,34.6064,270,top
R6,10K,R_0805_2012Metric,-93.914,63.8605,270,top
R7,10K,R_0805_2012Metric,-97.724,68.4625,270,top
R8,10K,R_0805_2012Metric,-95.819,68.4625,270,top
R9,10K,R_0805_2012Metric,-93.914,68.4625,270,top
R10,0.2,R_2512_6332Metric,-74.864,34.6064,270,top
R11,10K,R_0805_2012Metric,-68.8442,36.7125,270,top
R12,0.2,R_2512_6332Metric,-56.852,59.492,90,top
R13,0.2,R_2512_6332Metric,-46.5,59.5,90,top
R14,0.2,R_2512_6332Metric,-47.178,34.6064,270,top
R15,10K,R_0805_2012Metric,-97.0405,59.113,0,top
R16,10K,R_0805_2012Metric,-97.0405,61.018,0,top
R17,10K,R_0805_2012Metric,-97.724,63.8605,270,top
R18,10K,R_0805_2012Metric,-95.819,63.8605,270,top
R19,0.2,R_2512_6332Metric,-55.8394,34.6484,270,top
R20,10K,R_0805_2012Metric,-50.226,36.7079,90,top
U1,"PCA9557PW,118",SOP65P640X110-16N,-63.756,66.352,270,top
U2,DRV8821DCAR,SOP50P810X120-49N,-70.0126,47.2766,0,top
U3,DRV8821DCAR,SOP50P810X120-49N,-50.7086,47.2766,0,top
